rank,op_name,mean_mse,mean_cos
49,/base/transformer/layer.2/attention/Softmax_output_0,0.0008250783553394979,0.9994688377606614
50,/base/transformer/layer.1/Add_output_0,0.000825084511399414,0.9994688331338369
51,/base/transformer/layer.0/ffn/lin2/Add_output_0,0.0008250939541689572,0.9994688281932956
52,/base/transformer/layer.1/ffn/activation/Add_output_0,0.0008251093268840238,0.9994688174180355
53,/base/transformer/layer.0/attention/v_lin/Add_output_0,0.0008251124784875266,0.9994688154437396
54,/base/transformer/layer.0/attention/q_lin/Add_output_0,0.0008251362625196957,0.9994687997944033
55,/base/transformer/layer.3/Add_output_0,0.0008251487417942162,0.9994687910792318
56,/base/transformer/layer.5/attention/Constant_8_output_0,0.0008251515550980687,0.9994687905766598
57,/base/transformer/layer.0/attention/out_lin/Add_output_0,0.0008251786330331277,0.9994687737818468
58,/base/transformer/layer.1/ffn/activation/Div_output_0,0.0008251809058985416,0.9994687712675175
59,/base/transformer/layer.0/Add_output_0,0.0008251822731794125,0.9994687712983081
60,/base/embeddings/LayerNorm/LayerNormalization_output_0,0.0008251858686882485,0.9994687675947295
61,base.embeddings.position_embeddings.weight,0.0008251899863117986,0.9994687655459061
62,/base/transformer/layer.0/attention/k_lin/Add_output_0,0.0008251924984368389,0.9994687636798939
63,/base/transformer/layer.1/Add_1_output_0,0.0008251944435055483,0.9994687624619181
64,/base/transformer/layer.1/ffn/lin2/Add_output_0,0.000825202746769392,0.9994687566247719
65,/base/transformer/layer.3/attention/out_lin/Add_output_0,0.0008252064519239621,0.9994687541516378
66,/base/embeddings/Add_output_0,0.0008252306909704406,0.999468739021478
67,/base/transformer/layer.2/attention/v_lin/Add_output_0,0.0008252441150655443,0.9994687299465171
68,/base/transformer/layer.0/sa_layer_norm/LayerNormalization_output_0,0.0008252503640705683,0.9994687259652097
69,/base/transformer/layer.1/attention/out_lin/Add_output_0,0.000825255076970111,0.999468722378613
70,/base/transformer/layer.2/attention/MatMul_output_0,0.0008252674651904235,0.9994687161586883
71,/base/transformer/layer.1/ffn/activation/Constant_1_output_0,0.0008252740824492033,0.9994687108956003
72,/base/transformer/layer.2/attention/MatMul_1_output_0,0.0008252798423325045,0.9994687070501788
73,/base/transformer/layer.0/ffn/activation/Add_output_0,0.000825280180592612,0.9994687066587997
74,/base/transformer/layer.1/ffn/lin1/Add_output_0,0.0008252944516851979,0.9994686974775516
75,base.embeddings.word_embeddings.weight,0.0008253010725037808,0.9994686935445342
76,/base/transformer/layer.1/ffn/activation/Erf_output_0,0.0008253030031839,0.9994686920194091
77,/base/transformer/layer.2/attention/out_lin/Add_output_0,0.0008253084420567289,0.9994686887558188
78,/base/transformer/layer.0/ffn/activation/Mul_output_0,0.0008253181024588066,0.9994686833962185
79,/base/transformer/layer.0/ffn/activation/Erf_output_0,0.000825330385644509,0.9994686747900619
80,/base/transformer/layer.1/attention/MatMul_1_output_0,0.0008253337623805795,0.9994686730760438
